Date,Price($),Open,High,Low,Volume,Change(%)
2022-03-06T00:00:00Z,38403.1,39396.3,39668.1,38115,1930000000,-2.52
2022-03-05T00:00:00Z,39395.8,39142.8,39600.2,38626.1,1500000000,0.65
2022-03-04T00:00:00Z,39142.7,42463,42848.7,38594.9,3210000000,-7.82
2022-03-03T00:00:00Z,42463,43912.8,44077.2,41840.8,74110,-3.3
2022-03-02T00:00:00Z,43912.8,44420.3,45294.2,43361.3,80820,-1.14
2022-03-01T00:00:00Z,44420.3,43187.2,44900.5,42876.6,90670,2.85
2022-02-28T00:00:00Z,43188.2,37707.2,43977.8,37458.9,108070,14.59
2022-02-27T00:00:00Z,37689.1,39116.6,39838.5,37062.3,66140,-3.65
2022-02-26T00:00:00Z,39115.5,39221.6,40094.5,38639.1,41550,-0.24
2022-02-25T00:00:00Z,39209.6,38339.2,39683.7,38042.6,83780,2.27
2022-02-24T00:00:00Z,38339.2,37250.2,39351.6,34357.4,180470,2.99
2022-02-23T00:00:00Z,37224.6,38248.2,39194.5,37099.5,64840,-2.68
2022-02-22T00:00:00Z,38248.2,37018.3,38414.9,36399.6,82750,3.32
2022-02-21T00:00:00Z,37017.7,38355,39444.1,36868.9,91820,-3.49
2022-02-20T00:00:00Z,38355,40089.6,40120.3,38042.2,47920,-4.33
2022-02-19T00:00:00Z,40090.3,40000.1,40434.3,39666.6,25780,0.23
2022-02-18T00:00:00Z,40000.1,40532.5,40935.5,39505,64960,-1.36
2022-02-17T00:00:00Z,40552.8,43885.5,44167.1,40103.8,72630,-7.59
2022-02-16T00:00:00Z,43883.6,44540.9,44552.9,43377.6,41400,-1.48
2022-02-15T00:00:00Z,44544.4,42550.3,44722.6,42460.1,56340,4.69
2022-02-14T00:00:00Z,42550.3,42061.1,42799.7,41591.3,53600,1.16
2022-02-13T00:00:00Z,42061.1,42205.5,42725.1,41880.1,25880,-0.34
2022-02-12T00:00:00Z,42205.2,42388.4,43006.4,41776.8,37880,-0.43
2022-02-11T00:00:00Z,42388.4,43519.3,43915.1,42023.4,69950,-2.6
2022-02-10T00:00:00Z,43521,44388.9,45755.2,43242.5,89690,-1.96
2022-02-09T00:00:00Z,44388.9,44038.2,44800.4,43163,50920,0.8
